source_id,transit_id,band,time,mag,flux,flux_error,flux_over_error,rejected_by_photometry,rejected_by_variability,other_flags,solution_id
1764358825598202112,31572699038888043,G,1967.8208622602203,13.276637326576292,92191.60151259127,87.93430964907547,1048.4144,false,false,2097153,369295549951641967
1764358825598202112,31576791328138743,G,1967.8948964382284,13.407645044928094,81712.45749742005,88.28662638149395,925.5361,false,false,4097,369295549951641967
1764358825598202112,32816764394419583,G,1990.3209202419648,13.440472274225147,79278.85704747959,48.27180902265886,1642.3428,false,false,1,369295549951641967
1764358825598202112,32820856695616893,G,1990.3949327072767,12.429183874950972,201220.73919351219,456.38761196136113,440.89877,false,false,5119,369295549951641967
1764358825598202112,38325062907225309,G,2089.9370091598594,12.611551678888912,170108.34468103052,190.56899437861605,892.6339,false,false,4097,369295549951641967
1764358825598202112,38329155226101551,G,2090.0110127892676,12.928728402604367,127014.97556626375,103.62673206311565,1225.697,false,false,12288,369295549951641967
1764358825598202112,38338896003733370,G,2090.1871604914886,13.254685175440423,94074.56522726093,290.64710753026765,323.67282,false,false,4097,369295549951641967
1764358825598202112,38878285686124975,G,2099.941180665043,13.281336095010854,91793.4836468047,484.50987208899625,189.45638,false,false,4097,369295549951641967
1764358825598202112,38882377993085218,G,2100.015183262744,13.376144771743714,84117.89212559677,91.16624954954821,922.68677,false,false,4097,369295549951641967
1764358825598202112,41032783974913272,G,2138.901166994639,13.293356798422074,90782.79941206322,152.12282038993692,596.7731,false,false,4097,369295549951641967
1764358825598202112,41036876262847443,G,2138.9751676198944,13.351800390716354,86025.28770523318,75.5684302670154,1138.376,false,false,4097,369295549951641967
1764358825598202112,42846856011756309,G,2171.705027668936,12.810357644342924,141645.64694178003,162.8799682264119,869.6321,false,false,4097,369295549951641967
1764358825598202112,42856596791260297,G,2171.8811714894177,13.22920771249927,96308.18648935322,64.13959395806613,1501.5403,false,false,1,369295549951641967
1764358825598202112,43907472885429983,G,2190.8844676677563,13.154429692896334,103174.98463873556,120.65584067291047,855.11804,false,false,4097,369295549951641967
1764358825598202112,43911565202989314,G,2190.9584709574397,13.247654706979457,94685.70284457758,94.70259966933973,999.8216,false,false,4097,369295549951641967
1764358825598202112,50625709029732473,G,2312.3831392865054,13.111035959368465,107382.10330905371,147.7203110714515,726.92847,false,false,4097,369295549951641967
1764358825598202112,20256791464043033,BP,1763.179122123211,13.45447384975408,57380.68499054549,221.94097851777613,258.54028,false,false,0,369295549951641967
1764358825598202112,21827972816323975,BP,1791.5907211152066,13.470687207583971,56530.182206030244,237.59202705703035,237.92963,false,false,0,369295549951641967
1764358825598202112,29817896739550057,BP,1936.0838712511604,13.640084895950098,48363.8994869579,221.320695600692,218.52408,false,false,0,369295549951641967
1764358825598202112,29821989022528336,BP,1936.1578834153029,13.136005579463234,76940.15139158943,309.3071508140493,248.74998,false,false,0,369295549951641967
1764358825598202112,31572699038888043,BP,1967.821198097815,13.556746360885644,52222.38761469794,228.890176972417,228.15479,false,false,0,369295549951641967
1764358825598202112,31576791328138743,BP,1967.8952114225608,13.670030657871042,47048.19919655455,270.5246226613866,173.91467,false,false,0,369295549951641967
1764358825598202112,32816764394419583,BP,1990.3212350631823,13.749484387726472,43728.19119167047,203.3769369300657,215.01057,false,false,0,369295549951641967
1764358825598202112,38329155226101551,BP,2090.011327259426,13.14056396100514,76617.8011258848,265.0353992312668,289.08517,false,false,0,369295549951641967
1764358825598202112,38338896003733370,BP,2090.187475520693,13.524766197884745,53783.46635376822,233.05664801126636,230.77422,false,false,0,369295549951641967
1764358825598202112,38878285686124975,BP,2099.9414953333767,13.575263589108438,51339.28697152212,220.5560532432892,232.77206,false,false,0,369295549951641967
1764358825598202112,38882377993085218,BP,2100.015497629785,13.645534558600188,48121.753580080585,208.39563447861636,230.91536,false,false,0,369295549951641967
1764358825598202112,41032783974913272,BP,2138.9014814632665,13.563585671199036,51894.46031795067,221.60355993383106,234.17702,false,false,0,369295549951641967
1764358825598202112,41036876262847443,BP,2138.9754824222873,13.609700297585007,49736.49186073872,213.75497135432076,232.67993,false,false,0,369295549951641967
1764358825598202112,42846856011756309,BP,2171.705342459258,13.002784962663705,86984.38219230185,281.41475509062343,309.09674,false,false,0,369295549951641967
1764358825598202112,42856596791260297,BP,2171.881485707453,13.5085519942991,54592.68702340674,241.39788954446948,226.1523,false,false,0,369295549951641967
1764358825598202112,43907472885429983,BP,2190.8847824261725,13.427288150725694,58835.5757908939,237.5381884729467,247.68892,false,false,0,369295549951641967
1764358825598202112,50625709029732473,BP,2312.38345398154,13.38664441990427,61079.785092818296,248.51898138148573,245.77513,false,false,0,369295549951641967
1764358825598202112,20256791464043033,RP,1763.1792110188544,12.70110154921309,66730.9604414388,243.84391793913406,273.6626,false,false,0,369295549951641967
1764358825598202112,21827972816323975,RP,1791.5908085754338,12.74606499742536,64023.88094506267,250.76203149249073,255.31729,false,false,0,369295549951641967
1764358825598202112,23172899861993078,RP,1815.9112729306094,12.364318041293991,90999.87143562519,290.5917491961009,313.15366,false,false,0,369295549951641967
1764358825598202112,29817896739550057,RP,1936.0839582132023,12.894305304364376,55852.91877695271,232.44160875667353,240.28795,false,false,0,369295549951641967
1764358825598202112,29821989022528336,RP,1936.1579727602818,12.587766556690545,74073.24533361892,271.41392707471533,272.91617,false,false,0,369295549951641967
1764358825598202112,31572699038888043,RP,1967.8212852974352,12.828651957641693,59334.48978182912,240.43525980285295,246.77948,false,false,0,369295549951641967
1764358825598202112,31576791328138743,RP,1967.895297302734,12.965430576495947,52311.33032460164,235.60313850004357,222.03156,false,false,0,369295549951641967
1764358825598202112,32816764394419583,RP,1990.321321829815,12.990977478330036,51094.83534228757,221.44745514586285,230.73119,false,false,0,369295549951641967
1764358825598202112,32820856695616893,RP,1990.3953362264385,12.251250075602421,100987.57996529956,302.45697186746384,333.89075,false,false,0,369295549951641967
1764358825598202112,38325062907225309,RP,2089.9374122149075,12.36380430189621,91042.9401673523,284.85573655089064,319.6107,false,false,0,369295549951641967
1764358825598202112,38329155226101551,RP,2090.0114158164643,12.547809700765846,76850.0430222149,262.6025333536077,292.64777,false,false,0,369295549951641967
1764358825598202112,38338896003733370,RP,2090.1875603943217,12.81929951869474,59847.799639397876,236.52479870657325,253.02971,false,false,0,369295549951641967
1764358825598202112,38878285686124975,RP,2099.941582434251,12.852329420620428,58054.545183941926,234.8821583702415,247.16457,false,false,0,369295549951641967
1764358825598202112,38882377993085218,RP,2100.0155866107616,12.958523104119545,52645.196812348295,215.55796973590233,244.22755,false,false,0,369295549951641967
1764358825598202112,41032783974913272,RP,2138.901569575365,12.850368103961236,58159.51198129511,233.2697515070675,249.32298,false,false,0,369295549951641967
1764358825598202112,41036876262847443,RP,2138.9755692880385,12.927819771896,54155.19032963136,223.3059311108929,242.51569,false,false,0,369295549951641967
1764358825598202112,42846856011756309,RP,2171.7054294284053,12.481425586112557,81695.42958997289,274.0683816984527,298.0841,false,false,0,369295549951641967
1764358825598202112,42856596791260297,RP,2171.8815749326363,12.782866526356742,61890.12854621812,238.61254013145384,259.375,false,false,0,369295549951641967
1764358825598202112,43907472885429983,RP,2190.8848690248115,12.719576821505328,65605.04937269454,248.37986290608325,264.13193,false,false,0,369295549951641967
1764358825598202112,50625709029732473,RP,2312.3835412104227,12.681057839848554,67974.31806449787,255.826713045901,265.70453,false,false,0,369295549951641967
1764389367109232896,20266542135121109,G,1763.3551356179873,18.616119157418794,674.3705978926488,4.606298023486134,146.40186,false,false,1,369295549951641967
1764389367109232896,21827988173758660,G,1791.5907014558159,18.452494222983884,784.0587409738255,8.178953917650524,95.86296,false,false,1,369295549951641967
1764389367109232896,21832080465000273,G,1791.6647023305,18.687692057219145,631.3489567358192,6.956140137772271,90.76139,false,false,1,369295549951641967
1764389367109232896,23168812026062575,G,1815.8369745608227,18.350155640269925,861.5570368798413,40.14904678030631,21.458965,false,true,4161,369295549951641967
1764389367109232896,23172904303383961,G,1815.9109763770873,18.38223987840125,836.4699404524823,8.826319916171153,94.76996,false,false,1,369295549951641967
1764389367109232896,29817883679811343,G,1936.0833162026893,18.615354259973152,674.8458570637101,6.497207568301199,103.86706,false,false,1,369295549951641967
1764389367109232896,32816748151321600,G,1990.3206037096375,18.47799925042467,765.8550666904421,4.253042263928142,180.0723,false,false,1,369295549951641967
1764389367109232896,32820840454484970,G,1990.3946161894141,18.700261770088968,624.081892699213,8.583879136107988,72.70395,false,false,1,369295549951641967
1764389367109232896,38325079169852690,G,2089.937293267689,18.695552800049704,626.7944899902014,3.1933709999528226,196.27988,false,false,1,369295549951641967
1764389367109232896,38329171488597900,G,2090.0112969152556,18.688814326158266,630.6967013769498,7.836467999033719,80.48227,false,false,1,369295549951641967
1764389367109232896,38878298242684746,G,2099.9413738078683,18.605230120838435,681.1680067224006,103.7287505711878,6.5668197,false,true,4198657,369295549951641967
1764389367109232896,38882390501803736,G,2100.015375583361,18.737419519451368,603.0849381835807,6.754336311339242,89.28856,false,false,4194817,369295549951641967
1764389367109232896,38892131359946538,G,2100.191551038692,18.34614212305396,864.747750270044,7.666777181195737,112.79156,false,false,262145,369295549951641967
1764389367109232896,41036884471248465,G,2138.9753269544403,18.63752958345237,661.202453870971,2.9605924625359683,223.3345,false,false,1,369295549951641967
1764389367109232896,42846872191284844,G,2171.7053556856695,18.50736921161682,745.4158197087943,4.637633670912861,160.73193,false,false,65537,369295549951641967
1764389367109232896,42856612985993100,G,2171.8814857597895,18.471900626899735,770.1690095687442,29.309134785947208,26.27744,false,false,4097,369295549951641967
1764389367109232896,43907477864478296,G,2190.884582162723,18.592446166187116,689.2357940761099,7.7167756553274724,89.31655,false,false,1,369295549951641967
1764389367109232896,43911570108506223,G,2190.958584118712,18.6865421277802,632.0179878962673,7.589805611744383,83.27196,false,false,1,369295549951641967
1764389367109232896,43921310928998625,G,2191.1347319206793,18.35043179770575,861.3379273710718,6.404504317872605,134.4894,false,false,1,369295549951641967
1764389367109232896,43925403268584193,G,2191.2087356333477,18.51792763124826,738.2020340966376,5.779669395764396,127.72392,false,false,1,369295549951641967
1764389367109232896,50625695345436160,G,2312.3828830900165,18.693109217209763,628.2067567096053,10.562868727046554,59.47312,false,false,1,369295549951641967
1764389367109232896,20266542135121109,BP,1763.3554506433006,18.728261297395367,445.9136319957224,26.767675736501406,16.65866,false,false,0,369295549951641967
1764389367109232896,21827988173758660,BP,1791.5910162749751,18.520458274677765,539.9728929130048,48.010954190603805,11.246868,false,false,0,369295549951641967
1764389367109232896,21832080465000273,BP,1791.665016619546,18.949180781845456,363.8169724993398,28.460105289682094,12.783402,false,false,0,369295549951641967
1764389367109232896,23172904303383961,BP,1815.9112909047715,18.943906991872876,365.5884541192628,61.48351961579815,5.946121,false,false,0,369295549951641967
1764389367109232896,29817883679811343,BP,1936.0836306690414,18.28396503962808,671.3813182131026,70.10461580589546,9.576849,false,false,0,369295549951641967
1764389367109232896,32816748151321600,BP,1990.3209185060864,18.558984055788066,521.1486846667706,43.58785293163957,11.956283,false,false,0,369295549951641967
1764389367109232896,38325079169852690,BP,2089.937607627899,18.86366235930681,393.6319345209416,26.546358657467778,14.828095,false,false,0,369295549951641967
1764389367109232896,38329171488597900,BP,2090.0116113920726,18.79646074293447,418.76557328166405,27.885049625046044,15.017566,false,false,0,369295549951641967
1764389367109232896,38882390501803736,BP,2100.015718420905,18.90257445368354,379.77422558911223,29.9636305345918,12.674506,false,false,0,369295549951641967
1764389367109232896,38892131359946538,BP,2100.1918653079792,18.49585915912883,552.3464977676211,36.07612382409643,15.310583,false,false,0,369295549951641967
1764389367109232896,41036884471248465,BP,2138.9756412742713,19.158356156008345,300.0632479775947,47.28503106849282,6.34584,false,false,0,369295549951641967
1764389367109232896,42846872191284844,BP,2171.7056564716277,18.775535081956548,426.91482419839235,35.27660462631337,12.101925,false,false,0,369295549951641967
1764389367109232896,42856612985993100,BP,2171.8818000209153,18.63502506471127,485.8981465010097,64.52515994316,7.5303674,false,false,0,369295549951641967
1764389367109232896,43907477864478296,BP,2190.8848964149856,19.031557567391573,337.23468917198915,34.12864411641844,9.88128,false,false,0,369295549951641967
1764389367109232896,43911570108506223,BP,2190.958898475924,18.980564384719948,353.4512438990158,37.87225525366825,9.332723,false,false,0,369295549951641967
1764389367109232896,43921310928998625,BP,2191.135046842448,18.51767935338926,541.3567134992373,32.210786794917304,16.80669,false,false,0,369295549951641967
1764389367109232896,43925403268584193,BP,2191.2090507113935,18.670014274811642,470.48909128906627,36.09641559678779,13.034233,false,false,0,369295549951641967
1764389367109232896,50625695345436160,BP,2312.383197499624,18.91450549590337,375.6237723421982,38.777963407293335,9.686526,false,false,0,369295549951641967
1764389367109232896,20266542135121109,RP,1763.3555358029932,18.16389387935077,435.72295825657034,29.21246309139431,14.915653,false,false,0,369295549951641967
1764389367109232896,21827988173758660,RP,1791.5911027272134,17.903995275364178,553.5666082602183,44.36157003703325,12.478517,false,false,0,369295549951641967
1764389367109232896,21832080465000273,RP,1791.6651057100578,18.037051045741507,489.71970247877323,33.70529371198776,14.52946,false,false,0,369295549951641967
1764389367109232896,23168812026062575,RP,1815.83737753151,18.08774003631226,467.38199794051417,34.197459463857385,13.667155,false,false,0,369295549951641967
1764389367109232896,23172904303383961,RP,1815.911378985957,18.060052435525794,479.4540826196292,42.086518717028014,11.392106,false,false,0,369295549951641967
1764389367109232896,32816748151321600,RP,1990.321005412869,17.93853502303518,536.2335542968491,49.61200752938502,10.808544,false,false,0,369295549951641967
1764389367109232896,38325079169852690,RP,2089.9376963119753,18.139073272893754,445.7985854621241,30.52019432968386,14.606676,false,false,0,369295549951641967
1764389367109232896,38882390501803736,RP,2100.01580576134,18.083890720417873,469.0419720115478,31.79370569650386,14.752667,false,false,0,369295549951641967
1764389367109232896,38892131359946538,RP,2100.1919543787512,17.944894170881145,533.1020185078748,43.72494386871068,12.192172,false,false,0,369295549951641967
1764389367109232896,41036884471248465,RP,2138.9757304021496,18.376329406937334,358.291275005095,35.25964413312419,10.161511,false,false,0,369295549951641967
1764389367109232896,42846872191284844,RP,2171.7057431247313,18.020114704741545,497.41870598869656,39.730029448416865,12.519968,false,false,0,369295549951641967
1764389367109232896,42856612985993100,RP,2171.881889065572,18.1176630915892,454.6767621533236,37.07055418980053,12.265173,false,false,0,369295549951641967
1764389367109232896,43907477864478296,RP,2190.884985519979,18.2121346534975,416.7869706748762,32.4637436917495,12.838537,false,false,0,369295549951641967
1764389367109232896,43911570108506223,RP,2190.958987487691,18.288544061533656,388.4636358496219,40.87840599306202,9.502906,false,false,0,369295549951641967
1764389367109232896,43921310928998625,RP,2191.1351324486345,18.060009865055672,479.472881832322,33.63644825931137,14.254563,false,false,0,369295549951641967
1764389367109232896,43925403268584193,RP,2191.209136059008,18.07343594704436,473.580287076622,45.84234900512724,10.330628,false,false,0,369295549951641967
1764389367109232896,50625695345436160,RP,2312.3832861515943,18.450611237121723,334.5981230425824,42.19793175795814,7.929254,false,false,0,369295549951641967
1764426239404825856,20266508284089664,G,1763.3546111495507,16.42652920652155,5066.809864963648,64.97761603279588,77.977776,false,true,4097,369295549951641967
1764426239404825856,20270600577135554,G,1763.4286120496945,16.17029796980382,6415.44966844333,16.922620466359163,379.10498,false,false,1,369295549951641967
1764426239404825856,21814158810292608,G,1791.3407001151722,15.7068692827337,9831.019939621858,16.122648989916872,609.7646,false,false,1,369295549951641967
1764426239404825856,23168775069524852,G,1815.8363764922856,16.10893179389288,6788.496094612476,17.697987186895833,383.57446,false,false,32769,369295549951641967
1764426239404825856,23172867340685934,G,1815.910357008949,16.241641695761505,6007.442348947014,14.844379079965446,404.69476,false,false,1,369295549951641967
1764426239404825856,29821961584547527,G,1936.156980520729,16.013410309407952,7412.798010237408,20.857247860349002,355.40634,false,false,1,369295549951641967
1764426239404825856,29831702419498582,G,1936.333152327493,16.253580890139773,5941.743968478015,22.541867521724132,263.58704,false,false,1,369295549951641967
1764426239404825856,31562988286828805,G,1967.645159105719,16.096946189037578,6863.850480411308,14.555487530616265,471.56445,false,false,1,369295549951641967
1764426239404825856,32830588095706849,G,1990.5708513024929,16.02610807090698,7326.609785676943,21.275498259758567,344.3684,false,false,1,369295549951641967
1764426239404825856,32834680394413749,G,1990.644863780942,15.851175491969414,8607.481407015865,15.811310585184716,544.3876,false,false,1,369295549951641967
1764426239404825856,38352737641846171,G,2090.437529166528,16.173607024328174,6395.926735500895,39.09092683735898,163.61665,false,false,4097,369295549951641967
1764426239404825856,38356829944338196,G,2090.5115325514644,16.292720615525383,5731.364691259107,53.732757413171704,106.66426,false,true,4097,369295549951641967
1764426239404825856,38854740351292152,G,2099.51547572699,16.35699718961012,5401.910870363444,65.57133098167012,82.3822,false,true,4097,369295549951641967
1764426239404825856,38864481098024626,G,2099.6915931391,15.892804949281318,8283.699010217044,22.802355332356097,363.2826,false,false,4194817,369295549951641967
1764426239404825856,38868573410621191,G,2099.7656240632364,15.808304484239434,8954.152699653767,22.514216166525298,397.71106,false,false,1,369295549951641967
1764426239404825856,41046589858649730,G,2139.15091435905,16.28953434544007,5748.209020433439,15.335271359343025,374.83582,false,false,1,369295549951641967
1764426239404825856,42828941978636747,G,2171.3811680303797,16.4419796141968,4995.21797730782,17.869666994098477,279.53616,false,false,1,369295549951641967
1764426239404825856,42833034280490309,G,2171.4551696207295,15.829619934145253,8780.076833562314,24.71062277382636,355.3159,false,false,1,369295549951641967
1764426239404825856,43907440974786707,G,2190.883951292296,16.3251719567614,5562.595848596968,18.535205858237905,300.10974,false,false,1,369295549951641967
